Temperature - (Celsius), Year, Statistics, Country, ISO3
24.9034, 1901, Jan Average, Malaysia, MYS
24.6155, 1901, Feb Average, Malaysia, MYS
25.3411, 1901, Mar Average, Malaysia, MYS
25.6059, 1901, Apr Average, Malaysia, MYS
26.0758, 1901, May Average, Malaysia, MYS
25.4556, 1901, Jun Average, Malaysia, MYS
25.4768, 1901, Jul Average, Malaysia, MYS
24.9679, 1901, Aug Average, Malaysia, MYS
24.9621, 1901, Sep Average, Malaysia, MYS
25.1001, 1901, Oct Average, Malaysia, MYS
25.1269, 1901, Nov Average, Malaysia, MYS
24.5653, 1901, Dec Average, Malaysia, MYS
24.4005, 1902, Jan Average, Malaysia, MYS
23.5377, 1902, Feb Average, Malaysia, MYS
25.1324, 1902, Mar Average, Malaysia, MYS
25.475, 1902, Apr Average, Malaysia, MYS
26.0459, 1902, May Average, Malaysia, MYS
25.6921, 1902, Jun Average, Malaysia, MYS
25.1599, 1902, Jul Average, Malaysia, MYS
25.1106, 1902, Aug Average, Malaysia, MYS
24.8136, 1902, Sep Average, Malaysia, MYS
25.1903, 1902, Oct Average, Malaysia, MYS
25.0603, 1902, Nov Average, Malaysia, MYS
25.258, 1902, Dec Average, Malaysia, MYS
25.0621, 1903, Jan Average, Malaysia, MYS
24.2338, 1903, Feb Average, Malaysia, MYS
25.3352, 1903, Mar Average, Malaysia, MYS
25.5347, 1903, Apr Average, Malaysia, MYS
26.1069, 1903, May Average, Malaysia, MYS
25.1574, 1903, Jun Average, Malaysia, MYS
24.8524, 1903, Jul Average, Malaysia, MYS
24.9061, 1903, Aug Average, Malaysia, MYS
24.5467, 1903, Sep Average, Malaysia, MYS
24.468, 1903, Oct Average, Malaysia, MYS
24.4032, 1903, Nov Average, Malaysia, MYS
23.3315, 1903, Dec Average, Malaysia, MYS
23.438, 1904, Jan Average, Malaysia, MYS
23.4354, 1904, Feb Average, Malaysia, MYS
24.8897, 1904, Mar Average, Malaysia, MYS
24.4685, 1904, Apr Average, Malaysia, MYS
25.3288, 1904, May Average, Malaysia, MYS
25.2896, 1904, Jun Average, Malaysia, MYS
25.1535, 1904, Jul Average, Malaysia, MYS
24.6381, 1904, Aug Average, Malaysia, MYS
25.2006, 1904, Sep Average, Malaysia, MYS
24.4945, 1904, Oct Average, Malaysia, MYS
24.3138, 1904, Nov Average, Malaysia, MYS
23.808, 1904, Dec Average, Malaysia, MYS
24.7017, 1905, Jan Average, Malaysia, MYS
24.5438, 1905, Feb Average, Malaysia, MYS
25.2714, 1905, Mar Average, Malaysia, MYS
25.5735, 1905, Apr Average, Malaysia, MYS
25.7888, 1905, May Average, Malaysia, MYS
25.3505, 1905, Jun Average, Malaysia, MYS
24.8647, 1905, Jul Average, Malaysia, MYS
24.9737, 1905, Aug Average, Malaysia, MYS
24.7327, 1905, Sep Average, Malaysia, MYS
24.9718, 1905, Oct Average, Malaysia, MYS
24.7825, 1905, Nov Average, Malaysia, MYS
25.6242, 1905, Dec Average, Malaysia, MYS
25.2411, 1906, Jan Average, Malaysia, MYS
25.3799, 1906, Feb Average, Malaysia, MYS
25.3325, 1906, Mar Average, Malaysia, MYS
26.1972, 1906, Apr Average, Malaysia, MYS
26.3926, 1906, May Average, Malaysia, MYS
25.3592, 1906, Jun Average, Malaysia, MYS
25.1032, 1906, Jul Average, Malaysia, MYS
25.0705, 1906, Aug Average, Malaysia, MYS
24.8165, 1906, Sep Average, Malaysia, MYS
24.4926, 1906, Oct Average, Malaysia, MYS
24.4256, 1906, Nov Average, Malaysia, MYS
24.5003, 1906, Dec Average, Malaysia, MYS
24.112, 1907, Jan Average, Malaysia, MYS
24.2523, 1907, Feb Average, Malaysia, MYS
24.4167, 1907, Mar Average, Malaysia, MYS
25.0092, 1907, Apr Average, Malaysia, MYS
25.4545, 1907, May Average, Malaysia, MYS
25.0658, 1907, Jun Average, Malaysia, MYS
24.7092, 1907, Jul Average, Malaysia, MYS
24.499, 1907, Aug Average, Malaysia, MYS
24.9498, 1907, Sep Average, Malaysia, MYS
24.7252, 1907, Oct Average, Malaysia, MYS
24.8922, 1907, Nov Average, Malaysia, MYS
23.8635, 1907, Dec Average, Malaysia, MYS
24.4329, 1908, Jan Average, Malaysia, MYS
24.3998, 1908, Feb Average, Malaysia, MYS
24.7886, 1908, Mar Average, Malaysia, MYS
25.3387, 1908, Apr Average, Malaysia, MYS
25.4379, 1908, May Average, Malaysia, MYS
24.9826, 1908, Jun Average, Malaysia, MYS
25.0561, 1908, Jul Average, Malaysia, MYS
24.8433, 1908, Aug Average, Malaysia, MYS
25.0166, 1908, Sep Average, Malaysia, MYS
24.6976, 1908, Oct Average, Malaysia, MYS
24.2503, 1908, Nov Average, Malaysia, MYS
24.4004, 1908, Dec Average, Malaysia, MYS
24.5676, 1909, Jan Average, Malaysia, MYS
24.5496, 1909, Feb Average, Malaysia, MYS
24.8556, 1909, Mar Average, Malaysia, MYS
25.2633, 1909, Apr Average, Malaysia, MYS
25.5438, 1909, May Average, Malaysia, MYS
25.5512, 1909, Jun Average, Malaysia, MYS
24.6146, 1909, Jul Average, Malaysia, MYS
25.0878, 1909, Aug Average, Malaysia, MYS
24.6425, 1909, Sep Average, Malaysia, MYS
24.786, 1909, Oct Average, Malaysia, MYS
24.3693, 1909, Nov Average, Malaysia, MYS
23.8771, 1909, Dec Average, Malaysia, MYS
24.6918, 1910, Jan Average, Malaysia, MYS
24.3235, 1910, Feb Average, Malaysia, MYS
24.5229, 1910, Mar Average, Malaysia, MYS
24.8723, 1910, Apr Average, Malaysia, MYS
25.4467, 1910, May Average, Malaysia, MYS
25.0793, 1910, Jun Average, Malaysia, MYS
25.0503, 1910, Jul Average, Malaysia, MYS
24.9026, 1910, Aug Average, Malaysia, MYS
24.7006, 1910, Sep Average, Malaysia, MYS
24.4182, 1910, Oct Average, Malaysia, MYS
24.6053, 1910, Nov Average, Malaysia, MYS
23.9894, 1910, Dec Average, Malaysia, MYS
24.7768, 1911, Jan Average, Malaysia, MYS
25.0282, 1911, Feb Average, Malaysia, MYS
25.3084, 1911, Mar Average, Malaysia, MYS
25.6429, 1911, Apr Average, Malaysia, MYS
25.637, 1911, May Average, Malaysia, MYS
25.644, 1911, Jun Average, Malaysia, MYS
25.6812, 1911, Jul Average, Malaysia, MYS
25.1999, 1911, Aug Average, Malaysia, MYS
25.2728, 1911, Sep Average, Malaysia, MYS
25.2004, 1911, Oct Average, Malaysia, MYS
25.5696, 1911, Nov Average, Malaysia, MYS
25.361, 1911, Dec Average, Malaysia, MYS
25.4773, 1912, Jan Average, Malaysia, MYS
25.4692, 1912, Feb Average, Malaysia, MYS
26.1258, 1912, Mar Average, Malaysia, MYS
26.1344, 1912, Apr Average, Malaysia, MYS
26.1721, 1912, May Average, Malaysia, MYS
25.8639, 1912, Jun Average, Malaysia, MYS
25.2993, 1912, Jul Average, Malaysia, MYS
25.252, 1912, Aug Average, Malaysia, MYS
25.3217, 1912, Sep Average, Malaysia, MYS
25.176, 1912, Oct Average, Malaysia, MYS
25.1457, 1912, Nov Average, Malaysia, MYS
25.1851, 1912, Dec Average, Malaysia, MYS
25.0981, 1913, Jan Average, Malaysia, MYS
25.2964, 1913, Feb Average, Malaysia, MYS
25.8875, 1913, Mar Average, Malaysia, MYS
25.3556, 1913, Apr Average, Malaysia, MYS
25.692, 1913, May Average, Malaysia, MYS
25.4135, 1913, Jun Average, Malaysia, MYS
25.3293, 1913, Jul Average, Malaysia, MYS
25.2945, 1913, Aug Average, Malaysia, MYS
25.341, 1913, Sep Average, Malaysia, MYS
25.3537, 1913, Oct Average, Malaysia, MYS
25.307, 1913, Nov Average, Malaysia, MYS
25.3839, 1913, Dec Average, Malaysia, MYS
24.8426, 1914, Jan Average, Malaysia, MYS
25.2989, 1914, Feb Average, Malaysia, MYS
25.6598, 1914, Mar Average, Malaysia, MYS
25.9598, 1914, Apr Average, Malaysia, MYS
26.6586, 1914, May Average, Malaysia, MYS
25.4757, 1914, Jun Average, Malaysia, MYS
25.5908, 1914, Jul Average, Malaysia, MYS
25.774, 1914, Aug Average, Malaysia, MYS
25.5559, 1914, Sep Average, Malaysia, MYS
25.6154, 1914, Oct Average, Malaysia, MYS
25.9265, 1914, Nov Average, Malaysia, MYS
25.8562, 1914, Dec Average, Malaysia, MYS
25.1458, 1915, Jan Average, Malaysia, MYS
25.2833, 1915, Feb Average, Malaysia, MYS
25.7671, 1915, Mar Average, Malaysia, MYS
26.1635, 1915, Apr Average, Malaysia, MYS
26.1802, 1915, May Average, Malaysia, MYS
26.2236, 1915, Jun Average, Malaysia, MYS
25.5068, 1915, Jul Average, Malaysia, MYS
26.0244, 1915, Aug Average, Malaysia, MYS
25.4119, 1915, Sep Average, Malaysia, MYS
25.4368, 1915, Oct Average, Malaysia, MYS
25.7218, 1915, Nov Average, Malaysia, MYS
25.1812, 1915, Dec Average, Malaysia, MYS
24.6286, 1916, Jan Average, Malaysia, MYS
25.0678, 1916, Feb Average, Malaysia, MYS
25.398, 1916, Mar Average, Malaysia, MYS
25.6571, 1916, Apr Average, Malaysia, MYS
25.3052, 1916, May Average, Malaysia, MYS
25.2608, 1916, Jun Average, Malaysia, MYS
24.9212, 1916, Jul Average, Malaysia, MYS
25.2468, 1916, Aug Average, Malaysia, MYS
25.2844, 1916, Sep Average, Malaysia, MYS
25.3849, 1916, Oct Average, Malaysia, MYS
25.2825, 1916, Nov Average, Malaysia, MYS
25.062, 1916, Dec Average, Malaysia, MYS
24.441, 1917, Jan Average, Malaysia, MYS
24.2858, 1917, Feb Average, Malaysia, MYS
24.9645, 1917, Mar Average, Malaysia, MYS
25.5904, 1917, Apr Average, Malaysia, MYS
24.8963, 1917, May Average, Malaysia, MYS
25.1944, 1917, Jun Average, Malaysia, MYS
25.1753, 1917, Jul Average, Malaysia, MYS
25.0275, 1917, Aug Average, Malaysia, MYS
25.0777, 1917, Sep Average, Malaysia, MYS
25.1885, 1917, Oct Average, Malaysia, MYS
25.2978, 1917, Nov Average, Malaysia, MYS
24.976, 1917, Dec Average, Malaysia, MYS
23.265, 1918, Jan Average, Malaysia, MYS
23.2623, 1918, Feb Average, Malaysia, MYS
24.7695, 1918, Mar Average, Malaysia, MYS
25.0457, 1918, Apr Average, Malaysia, MYS
25.3696, 1918, May Average, Malaysia, MYS
24.8842, 1918, Jun Average, Malaysia, MYS
25.3361, 1918, Jul Average, Malaysia, MYS
25.2115, 1918, Aug Average, Malaysia, MYS
25.3353, 1918, Sep Average, Malaysia, MYS
25.0841, 1918, Oct Average, Malaysia, MYS
25.4958, 1918, Nov Average, Malaysia, MYS
24.5643, 1918, Dec Average, Malaysia, MYS
25.2709, 1919, Jan Average, Malaysia, MYS
25.5567, 1919, Feb Average, Malaysia, MYS
25.9316, 1919, Mar Average, Malaysia, MYS
26.1753, 1919, Apr Average, Malaysia, MYS
26.2252, 1919, May Average, Malaysia, MYS
25.8636, 1919, Jun Average, Malaysia, MYS
25.1201, 1919, Jul Average, Malaysia, MYS
25.5047, 1919, Aug Average, Malaysia, MYS
25.3371, 1919, Sep Average, Malaysia, MYS
25.3156, 1919, Oct Average, Malaysia, MYS
25.2725, 1919, Nov Average, Malaysia, MYS
24.9885, 1919, Dec Average, Malaysia, MYS
24.6884, 1920, Jan Average, Malaysia, MYS
24.9851, 1920, Feb Average, Malaysia, MYS
25.535, 1920, Mar Average, Malaysia, MYS
25.8544, 1920, Apr Average, Malaysia, MYS
25.9506, 1920, May Average, Malaysia, MYS
25.9752, 1920, Jun Average, Malaysia, MYS
25.5842, 1920, Jul Average, Malaysia, MYS
25.3135, 1920, Aug Average, Malaysia, MYS
25.5258, 1920, Sep Average, Malaysia, MYS
25.3653, 1920, Oct Average, Malaysia, MYS
25.7321, 1920, Nov Average, Malaysia, MYS
24.3952, 1920, Dec Average, Malaysia, MYS
24.8119, 1921, Jan Average, Malaysia, MYS
24.7954, 1921, Feb Average, Malaysia, MYS
25.2362, 1921, Mar Average, Malaysia, MYS
25.4631, 1921, Apr Average, Malaysia, MYS
25.2958, 1921, May Average, Malaysia, MYS
25.021, 1921, Jun Average, Malaysia, MYS
25.2784, 1921, Jul Average, Malaysia, MYS
25.4649, 1921, Aug Average, Malaysia, MYS
25.3968, 1921, Sep Average, Malaysia, MYS
24.9953, 1921, Oct Average, Malaysia, MYS
25.0424, 1921, Nov Average, Malaysia, MYS
25.0842, 1921, Dec Average, Malaysia, MYS
25.2541, 1922, Jan Average, Malaysia, MYS
24.8203, 1922, Feb Average, Malaysia, MYS
24.9976, 1922, Mar Average, Malaysia, MYS
25.3821, 1922, Apr Average, Malaysia, MYS
25.3085, 1922, May Average, Malaysia, MYS
25.4264, 1922, Jun Average, Malaysia, MYS
25.1709, 1922, Jul Average, Malaysia, MYS
25.0276, 1922, Aug Average, Malaysia, MYS
25.4414, 1922, Sep Average, Malaysia, MYS
25.1844, 1922, Oct Average, Malaysia, MYS
25.7187, 1922, Nov Average, Malaysia, MYS
25.4722, 1922, Dec Average, Malaysia, MYS
24.7009, 1923, Jan Average, Malaysia, MYS
24.9997, 1923, Feb Average, Malaysia, MYS
24.9773, 1923, Mar Average, Malaysia, MYS
25.8533, 1923, Apr Average, Malaysia, MYS
25.5113, 1923, May Average, Malaysia, MYS
25.5286, 1923, Jun Average, Malaysia, MYS
25.0412, 1923, Jul Average, Malaysia, MYS
24.7286, 1923, Aug Average, Malaysia, MYS
24.8431, 1923, Sep Average, Malaysia, MYS
25.1643, 1923, Oct Average, Malaysia, MYS
25.3067, 1923, Nov Average, Malaysia, MYS
25.1773, 1923, Dec Average, Malaysia, MYS
25.2449, 1924, Jan Average, Malaysia, MYS
25.1318, 1924, Feb Average, Malaysia, MYS
25.1568, 1924, Mar Average, Malaysia, MYS
25.8607, 1924, Apr Average, Malaysia, MYS
25.8336, 1924, May Average, Malaysia, MYS
25.4573, 1924, Jun Average, Malaysia, MYS
25.4349, 1924, Jul Average, Malaysia, MYS
25.7149, 1924, Aug Average, Malaysia, MYS
24.9063, 1924, Sep Average, Malaysia, MYS
24.3588, 1924, Oct Average, Malaysia, MYS
24.7924, 1924, Nov Average, Malaysia, MYS
24.5218, 1924, Dec Average, Malaysia, MYS
24.8918, 1925, Jan Average, Malaysia, MYS
24.1537, 1925, Feb Average, Malaysia, MYS
24.7743, 1925, Mar Average, Malaysia, MYS
25.4838, 1925, Apr Average, Malaysia, MYS
25.7586, 1925, May Average, Malaysia, MYS
25.624, 1925, Jun Average, Malaysia, MYS
25.3831, 1925, Jul Average, Malaysia, MYS
25.5136, 1925, Aug Average, Malaysia, MYS
25.3125, 1925, Sep Average, Malaysia, MYS
24.9974, 1925, Oct Average, Malaysia, MYS
25.1601, 1925, Nov Average, Malaysia, MYS
24.6174, 1925, Dec Average, Malaysia, MYS
24.5374, 1926, Jan Average, Malaysia, MYS
25.149, 1926, Feb Average, Malaysia, MYS
25.4625, 1926, Mar Average, Malaysia, MYS
26.448, 1926, Apr Average, Malaysia, MYS
26.3756, 1926, May Average, Malaysia, MYS
25.8414, 1926, Jun Average, Malaysia, MYS
25.3479, 1926, Jul Average, Malaysia, MYS
25.5108, 1926, Aug Average, Malaysia, MYS
25.2781, 1926, Sep Average, Malaysia, MYS
25.1567, 1926, Oct Average, Malaysia, MYS
25.2165, 1926, Nov Average, Malaysia, MYS
25.099, 1926, Dec Average, Malaysia, MYS
24.6905, 1927, Jan Average, Malaysia, MYS
25.0513, 1927, Feb Average, Malaysia, MYS
25.7296, 1927, Mar Average, Malaysia, MYS
25.7393, 1927, Apr Average, Malaysia, MYS
25.6897, 1927, May Average, Malaysia, MYS
25.5577, 1927, Jun Average, Malaysia, MYS
25.3893, 1927, Jul Average, Malaysia, MYS
25.4472, 1927, Aug Average, Malaysia, MYS
25.5239, 1927, Sep Average, Malaysia, MYS
24.9374, 1927, Oct Average, Malaysia, MYS
25.1669, 1927, Nov Average, Malaysia, MYS
25.382, 1927, Dec Average, Malaysia, MYS
25.3551, 1928, Jan Average, Malaysia, MYS
24.9612, 1928, Feb Average, Malaysia, MYS
25.3986, 1928, Mar Average, Malaysia, MYS
25.6618, 1928, Apr Average, Malaysia, MYS
25.943, 1928, May Average, Malaysia, MYS
25.5693, 1928, Jun Average, Malaysia, MYS
25.3281, 1928, Jul Average, Malaysia, MYS
25.5867, 1928, Aug Average, Malaysia, MYS
25.3461, 1928, Sep Average, Malaysia, MYS
25.1035, 1928, Oct Average, Malaysia, MYS
25.0885, 1928, Nov Average, Malaysia, MYS
25.3289, 1928, Dec Average, Malaysia, MYS
24.4923, 1929, Jan Average, Malaysia, MYS
24.5077, 1929, Feb Average, Malaysia, MYS
24.5624, 1929, Mar Average, Malaysia, MYS
25.5948, 1929, Apr Average, Malaysia, MYS
25.7119, 1929, May Average, Malaysia, MYS
25.2391, 1929, Jun Average, Malaysia, MYS
25.2469, 1929, Jul Average, Malaysia, MYS
25.2776, 1929, Aug Average, Malaysia, MYS
25.2793, 1929, Sep Average, Malaysia, MYS
25.0308, 1929, Oct Average, Malaysia, MYS
24.7126, 1929, Nov Average, Malaysia, MYS
24.8757, 1929, Dec Average, Malaysia, MYS
25.031, 1930, Jan Average, Malaysia, MYS
24.8322, 1930, Feb Average, Malaysia, MYS
25.1667, 1930, Mar Average, Malaysia, MYS
25.6957, 1930, Apr Average, Malaysia, MYS
25.6937, 1930, May Average, Malaysia, MYS
25.4449, 1930, Jun Average, Malaysia, MYS
25.8473, 1930, Jul Average, Malaysia, MYS
26.0715, 1930, Aug Average, Malaysia, MYS
25.6967, 1930, Sep Average, Malaysia, MYS
25.4804, 1930, Oct Average, Malaysia, MYS
25.3924, 1930, Nov Average, Malaysia, MYS
25.3863, 1930, Dec Average, Malaysia, MYS
25.509, 1931, Jan Average, Malaysia, MYS
25.691, 1931, Feb Average, Malaysia, MYS
26.0987, 1931, Mar Average, Malaysia, MYS
26.2523, 1931, Apr Average, Malaysia, MYS
26.4202, 1931, May Average, Malaysia, MYS
26.2449, 1931, Jun Average, Malaysia, MYS
25.6356, 1931, Jul Average, Malaysia, MYS
26.1895, 1931, Aug Average, Malaysia, MYS
25.4417, 1931, Sep Average, Malaysia, MYS
25.2791, 1931, Oct Average, Malaysia, MYS
25.3029, 1931, Nov Average, Malaysia, MYS
24.798, 1931, Dec Average, Malaysia, MYS
24.4361, 1932, Jan Average, Malaysia, MYS
24.8059, 1932, Feb Average, Malaysia, MYS
25.0243, 1932, Mar Average, Malaysia, MYS
25.5981, 1932, Apr Average, Malaysia, MYS
25.5578, 1932, May Average, Malaysia, MYS
25.3226, 1932, Jun Average, Malaysia, MYS
25.3161, 1932, Jul Average, Malaysia, MYS
25.4529, 1932, Aug Average, Malaysia, MYS
25.2054, 1932, Sep Average, Malaysia, MYS
25.4419, 1932, Oct Average, Malaysia, MYS
24.8762, 1932, Nov Average, Malaysia, MYS
25.1361, 1932, Dec Average, Malaysia, MYS
24.9776, 1933, Jan Average, Malaysia, MYS
24.9254, 1933, Feb Average, Malaysia, MYS
25.195, 1933, Mar Average, Malaysia, MYS
25.737, 1933, Apr Average, Malaysia, MYS
26.1453, 1933, May Average, Malaysia, MYS
25.7516, 1933, Jun Average, Malaysia, MYS
25.3893, 1933, Jul Average, Malaysia, MYS
25.7859, 1933, Aug Average, Malaysia, MYS
25.1498, 1933, Sep Average, Malaysia, MYS
24.9497, 1933, Oct Average, Malaysia, MYS
24.6224, 1933, Nov Average, Malaysia, MYS
24.6196, 1933, Dec Average, Malaysia, MYS
24.1536, 1934, Jan Average, Malaysia, MYS
23.8845, 1934, Feb Average, Malaysia, MYS
24.5195, 1934, Mar Average, Malaysia, MYS
25.2312, 1934, Apr Average, Malaysia, MYS
25.6655, 1934, May Average, Malaysia, MYS
25.4133, 1934, Jun Average, Malaysia, MYS
25.4647, 1934, Jul Average, Malaysia, MYS
25.3856, 1934, Aug Average, Malaysia, MYS
25.3538, 1934, Sep Average, Malaysia, MYS
25.0921, 1934, Oct Average, Malaysia, MYS
25.15, 1934, Nov Average, Malaysia, MYS
24.9985, 1934, Dec Average, Malaysia, MYS
24.9559, 1935, Jan Average, Malaysia, MYS
25.2339, 1935, Feb Average, Malaysia, MYS
25.773, 1935, Mar Average, Malaysia, MYS
25.6408, 1935, Apr Average, Malaysia, MYS
25.4609, 1935, May Average, Malaysia, MYS
25.349, 1935, Jun Average, Malaysia, MYS
25.5728, 1935, Jul Average, Malaysia, MYS
25.4998, 1935, Aug Average, Malaysia, MYS
25.5057, 1935, Sep Average, Malaysia, MYS
25.4802, 1935, Oct Average, Malaysia, MYS
25.3284, 1935, Nov Average, Malaysia, MYS
25.1809, 1935, Dec Average, Malaysia, MYS
25.1128, 1936, Jan Average, Malaysia, MYS
25.6133, 1936, Feb Average, Malaysia, MYS
25.3776, 1936, Mar Average, Malaysia, MYS
25.8198, 1936, Apr Average, Malaysia, MYS
26.0333, 1936, May Average, Malaysia, MYS
25.5371, 1936, Jun Average, Malaysia, MYS
25.4689, 1936, Jul Average, Malaysia, MYS
25.2342, 1936, Aug Average, Malaysia, MYS
25.3428, 1936, Sep Average, Malaysia, MYS
24.9514, 1936, Oct Average, Malaysia, MYS
25.0925, 1936, Nov Average, Malaysia, MYS
25.6084, 1936, Dec Average, Malaysia, MYS
25.349, 1937, Jan Average, Malaysia, MYS
25.3651, 1937, Feb Average, Malaysia, MYS
25.8912, 1937, Mar Average, Malaysia, MYS
25.8931, 1937, Apr Average, Malaysia, MYS
25.42, 1937, May Average, Malaysia, MYS
25.8873, 1937, Jun Average, Malaysia, MYS
25.4234, 1937, Jul Average, Malaysia, MYS
25.6779, 1937, Aug Average, Malaysia, MYS
25.3063, 1937, Sep Average, Malaysia, MYS
24.9099, 1937, Oct Average, Malaysia, MYS
25.2973, 1937, Nov Average, Malaysia, MYS
25.318, 1937, Dec Average, Malaysia, MYS
25.1681, 1938, Jan Average, Malaysia, MYS
25.4986, 1938, Feb Average, Malaysia, MYS
25.401, 1938, Mar Average, Malaysia, MYS
25.5294, 1938, Apr Average, Malaysia, MYS
25.4808, 1938, May Average, Malaysia, MYS
25.4172, 1938, Jun Average, Malaysia, MYS
25.2814, 1938, Jul Average, Malaysia, MYS
25.3368, 1938, Aug Average, Malaysia, MYS
25.4261, 1938, Sep Average, Malaysia, MYS
25.2278, 1938, Oct Average, Malaysia, MYS
25.1362, 1938, Nov Average, Malaysia, MYS
25.2591, 1938, Dec Average, Malaysia, MYS
25.1053, 1939, Jan Average, Malaysia, MYS
24.8472, 1939, Feb Average, Malaysia, MYS
25.27, 1939, Mar Average, Malaysia, MYS
25.8457, 1939, Apr Average, Malaysia, MYS
25.5345, 1939, May Average, Malaysia, MYS
25.4156, 1939, Jun Average, Malaysia, MYS
25.6336, 1939, Jul Average, Malaysia, MYS
